h_over_J,ground_local_qfi,thermal_beta5_local_qfi,depolarized_P01_local_qfi
1.000000000000000056e-01,1.017684558187211152e+00,1.011357009289421516e+00,8.900982016000964503e-01
1.406779661016949179e-01,1.036565790116435126e+00,1.022753959623671882e+00,9.055229395097244005e-01
1.813559322033898302e-01,1.064251678836302784e+00,1.038393861675716678e+00,9.281838542186080510e-01
2.220338983050847426e-01,1.102832597591035135e+00,1.058655742341329864e+00,9.598385446288844047e-01
2.627118644067796271e-01,1.154902519898499458e+00,1.084053448603068626e+00,1.002685353259273437e+00
3.033898305084745672e-01,1.223520099959900076e+00,1.115276179951654401e+00,1.059344263483310566e+00
3.440677966101695073e-01,1.312129439333743708e+00,1.153249572474611018e+00,1.132807821369423706e+00
3.847457627118643364e-01,1.424410938006690053e+00,1.199228856757913242e+00,1.226336282736423033e+00
4.254237288135592765e-01,1.564020227211891267e+00,1.254936419669582914e+00,1.343258630684899479e+00
4.661016949152542166e-01,1.734162349693289862e+00,1.322754251995302832e+00,1.486628572126146741e+00
5.067796610169491567e-01,1.936946452479343606e+00,1.405974484662059654e+00,1.658678585297935992e+00
5.474576271186439858e-01,2.172486372622056017e+00,1.509092550648448494e+00,1.860028049193031663e+00
5.881355932203389258e-01,2.437773008274978892e+00,1.638088934072590153e+00,2.088652220460130771e+00
6.288135593220338659e-01,2.725462333964293826e+00,1.800575185805896039e+00,2.338726603258299175e+00
6.694915254237286950e-01,3.022896334474533653e+00,2.005566892556149838e+00,2.599628500697381384e+00
7.101694915254236351e-01,3.311853452824327082e+00,2.262496711013179063e+00,2.855560537553990308e+00
7.508474576271185752e-01,3.569591830848875880e+00,2.578955737263002312e+00,3.086346017944190390e+00
7.915254237288135153e-01,3.771542637499390782e+00,2.956723779008569419e+00,3.269773583580122267e+00
8.322033898305084554e-01,3.895446260279831652e+00,3.386218123835181615e+00,3.385345924159104847e+00
8.728813559322032845e-01,3.925953512126300726e+00,3.840809146203177260e+00,3.418550961124600107e+00
9.135593220338982245e-01,3.858171383565661916e+00,4.274228317509525255e+00,3.364236877463683051e+00
9.542372881355931646e-01,3.698785544160142713e+00,4.625146344568840107e+00,3.227786943299831179e+00
9.949152542372879937e-01,3.464311088046174714e+00,4.830897073068058489e+00,3.023635488217511824e+00
1.035593220338983045e+00,3.177208725386704291e+00,4.846844676459228118e+00,2.771777273200752845e+00
1.076271186440677985e+00,2.861342114625142319e+00,4.662464696617226068e+00,2.493625774189139666e+00
1.116949152542372925e+00,2.538190664948114517e+00,4.305230911265801375e+00,2.208533859998159876e+00
1.157627118644067865e+00,2.224587735707751701e+00,3.830246076842072078e+00,1.931700151254334585e+00
1.198305084745762805e+00,1.932019484117480701e+00,3.301874487778508005e+00,1.673504414968026044e+00
1.238983050847457523e+00,1.667055948585645542e+00,2.776748178423952940e+00,1.439883716312470252e+00
1.279661016949152463e+00,1.432365990617248119e+00,2.294253886575959189e+00,1.233247282239836817e+00
1.320338983050847403e+00,1.227872887488300702e+00,1.875108525711976837e+00,1.053523179040858349e+00
1.361016949152542344e+00,1.051786165100144110e+00,1.525091133644863595e+00,8.990937988328845387e-01
1.401694915254237284e+00,9.014008888871162251e-01,1.240455478988400806e+00,7.675200889802190618e-01
1.442372881355932224e+00,7.736548828898599517e-01,1.012733629469110053e+00,6.560456126451323922e-01
1.483050847457627164e+00,6.654820786458343074e-01,8.320554424218341572e-01,5.619153122744567908e-01
1.523728813559322104e+00,5.740139973748001889e-01,6.890232962405751227e-01,4.825564609416973516e-01
1.564406779661017044e+00,4.966776941556801939e-01,5.755418210171108218e-01,4.156658767557168677e-01
1.605084745762711762e+00,4.312283024887816341e-01,4.850248756497177460e-01,3.592381191916261818e-01
