h_over_J,ground_local_qfi,thermal_beta2_local_qfi,depolarized_P01_local_qfi
1.000000000000000056e-01,1.017684558187211152e+00,1.043274906171219207e+00,8.900982016000964503e-01
1.406779661016949179e-01,1.036565790116435126e+00,1.056803837282212832e+00,9.055229395097244005e-01
1.813559322033898302e-01,1.064251678836302784e+00,1.075298407159748670e+00,9.281838542186080510e-01
2.220338983050847426e-01,1.102832597591035135e+00,1.099086981515104755e+00,9.598385446288844047e-01
2.627118644067796271e-01,1.154902519898499458e+00,1.128562756955090229e+00,1.002685353259273437e+00
3.033898305084745672e-01,1.223520099959900076e+00,1.164168052237812834e+00,1.059344263483310566e+00
3.440677966101695073e-01,1.312129439333743708e+00,1.206373072909994848e+00,1.132807821369423706e+00
3.847457627118643364e-01,1.424410938006690053e+00,1.255648665197559799e+00,1.226336282736423033e+00
4.254237288135592765e-01,1.564020227211891267e+00,1.312432575145755509e+00,1.343258630684899479e+00
4.661016949152542166e-01,1.734162349693289862e+00,1.377088542272320915e+00,1.486628572126146741e+00
5.067796610169491567e-01,1.936946452479343606e+00,1.449857271367188227e+00,1.658678585297935992e+00
5.474576271186439858e-01,2.172486372622056017e+00,1.530798144965110019e+00,1.860028049193031663e+00
5.881355932203389258e-01,2.437773008274978892e+00,1.619720732601747537e+00,2.088652220460130771e+00
6.288135593220338659e-01,2.725462333964293826e+00,1.716106011534442644e+00,2.338726603258299175e+00
6.694915254237286950e-01,3.022896334474533653e+00,1.819019048628734092e+00,2.599628500697381384e+00
7.101694915254236351e-01,3.311853452824327082e+00,1.927018050852830067e+00,2.855560537553990308e+00
7.508474576271185752e-01,3.569591830848875880e+00,2.038069451457388048e+00,3.086346017944190390e+00
7.915254237288135153e-01,3.771542637499390782e+00,2.149484925502992194e+00,3.269773583580122267e+00
8.322033898305084554e-01,3.895446260279831652e+00,2.257902810172502495e+00,3.385345924159104847e+00
8.728813559322032845e-01,3.925953512126300726e+00,2.359340796443822885e+00,3.418550961124600107e+00
9.135593220338982245e-01,3.858171383565661916e+00,2.449345199231827142e+00,3.364236877463683051e+00
9.542372881355931646e-01,3.698785544160142713e+00,2.523251007715719751e+00,3.227786943299831179e+00
9.949152542372879937e-01,3.464311088046174714e+00,2.576545203240462989e+00,3.023635488217511824e+00
1.035593220338983045e+00,3.177208725386704291e+00,2.605297161650531823e+00,2.771777273200752845e+00
1.076271186440677985e+00,2.861342114625142319e+00,2.606592940494373511e+00,2.493625774189139666e+00
1.116949152542372925e+00,2.538190664948114517e+00,2.578895672031398689e+00,2.208533859998159876e+00
1.157627118644067865e+00,2.224587735707751701e+00,2.522260108249861688e+00,1.931700151254334585e+00
1.198305084745762805e+00,1.932019484117480701e+00,2.438356257341581124e+00,1.673504414968026044e+00
1.238983050847457523e+00,1.667055948585645542e+00,2.330297269128957627e+00,1.439883716312470252e+00
1.279661016949152463e+00,1.432365990617248119e+00,2.202307340383574452e+00,1.233247282239836817e+00
1.320338983050847403e+00,1.227872887488300702e+00,2.059294038610103073e+00,1.053523179040858349e+00
1.361016949152542344e+00,1.051786165100144110e+00,1.906399241120419807e+00,8.990937988328845387e-01
1.401694915254237284e+00,9.014008888871162251e-01,1.748594332576237198e+00,7.675200889802190618e-01
1.442372881355932224e+00,7.736548828898599517e-01,1.590364508953958644e+00,6.560456126451323922e-01
1.483050847457627164e+00,6.654820786458343074e-01,1.435502196204647696e+00,5.619153122744567908e-01
1.523728813559322104e+00,5.740139973748001889e-01,1.287007676098196995e+00,4.825564609416973516e-01
1.564406779661017044e+00,4.966776941556801939e-01,1.147079979077251899e+00,4.156658767557168677e-01
1.605084745762711762e+00,4.312283024887816341e-01,1.017173803589703995e+00,3.592381191916261818e-01
1.645762711864406702e+00,3.757434463645117351e-01,8.980973446363751389e-01,3.115594332465592142e-01
1.686440677966101642e+00,3.285976620313169061e-01,7.901292168787584780e-01,2.711838733337080809e-01
1.727118644067796582e+00,2.884281804146113792e-01,6.931379211636031767e-01,2.369018515364754440e-01
1.767796610169491522e+00,2.540987402593325450e-01,6.066928517789416109e-01,2.077071017556646471e-01
1.808474576271186463e+00,2.246650555051140363e-01,5.301606731818430118e-01,1.827652917093030571e-01
1.849152542372881403e+00,1.993436733223377666e-01,4.627845820259205434e-01,1.613858117803132208e-01
1.889830508474576121e+00,1.774848476050810697e-01,4.037464748529684400e-01,1.429972713066089418e-01
1.930508474576271061e+00,1.585494366443773728e-01,3.522135352274585740e-01,1.271266832950370684e-01
1.971186440677966001e+00,1.420895219072325077e-01,3.073714845776706062e-01,1.133820434311787195e-01
2.011864406779660719e+00,1.277323124048742597e-01,2.684469531416592281e-01,1.014378951857460714e-01
2.052542372881355881e+00,1.151668673646005780e-01,2.347213203960122618e-01,9.102344855690981673e-02
2.093220338983050599e+00,1.041331908501582498e-01,2.055381294633966127e-01,8.191284227636666526e-02
2.133898305084745761e+00,9.441329732202359548e-02,1.803057670481607866e-01,7.391718276073763749e-02
2.174576271186440479e+00,8.582390087158195402e-02,1.584968967456407418e-01,6.687804342059265605e-02
2.215254237288135641e+00,7.821043441989242173e-02,1.396456812575868067e-01,6.066215756186388308e-02
2.255932203389830359e+00,7.144215434725806335e-02,1.233436527246628001e-01,5.515708337866680189e-02
2.296610169491525522e+00,6.540812912062064777e-02,1.092348398658619657e-01,5.026765902328930030e-02
2.337288135593220240e+00,6.001394718152928964e-02,9.701059109299003946e-02,4.591309923431137474e-02
2.377966101694914958e+00,5.517901000963121305e-02,8.640439742091522712e-02,4.202461289663911997e-02
2.418644067796610120e+00,5.083430155225555219e-02,7.718691618887507655e-02,3.854344384592175293e-02
2.459322033898304838e+00,4.692054587026621426e-02,6.916132012396536410e-02,3.541925593396016980e-02
2.500000000000000000e+00,4.338668163656502624e-02,6.215904059250146330e-02,3.260879853526361255e-02
